St Alban Wood Street,inside City walls
All Hallows Barking,inside City walls
All Hallows Bread Street,inside City walls
All Hallows the Great,inside City walls
All Hallows Honey Lane,inside City walls
All Hallows the Less,inside City walls
All Hallows Lombard Street,inside City walls
All Hallows Staining,inside City walls
All Hallows London Wall,inside City walls
St Alphage,inside City walls
St Andrew Hubbard,inside City walls
St Andrew Undershaft,inside City walls
St Andrew Wardrobe,inside City walls
St Anne Aldersgate,inside City walls
St Ann Blackfriars,inside City walls
St Antholin,inside City walls
St Austin,inside City walls
St Bartholomew Exchange,inside City walls
St Benet Fink,inside City walls
St Benet Gracechurch,inside City walls
St Benet Paul's Wharf,inside City walls
St Benet Sherehog,inside City walls
St Botolph Billingsgate,inside City walls
Christ Church,inside City walls
St Christopher,inside City walls
St Clement Eastcheap,inside City walls
St Dionis Backchurch,inside City walls
St Dunstan East,inside City walls
St Edmund the King,inside City walls
St Ethelburga,inside City walls
St Faith under St Paul's,inside City walls
St Vedast alias Foster,inside City walls
St Gabriel Fenchurch,inside City walls
St George Botolph Lane,inside City walls
St Gregory by St Paul's,inside City walls
St Helen,inside City walls
St James Duke's Place,inside City walls
St James Garlickhithe,inside City walls
St John Baptist,inside City walls
St John Evangelist,inside City walls
St John Zachary,inside City walls
St Katherine Coleman,inside City walls
St Katherine Creechurch,inside City walls
St Lawrence Jewry,inside City walls
St Lawrence Pountney,inside City walls
St Leonard Eastcheap,inside City walls
St Leonard Foster Lane,inside City walls
St Magnus,inside City walls
St Margaret Lothbury,inside City walls
St Margaret Moses,inside City walls
St Margaret New Fish Street,inside City walls
St Margaret Pattens,inside City walls
St Mary Abchurch,inside City walls
St Mary Aldermanbury,inside City walls
St Mary Aldermay,inside City walls
St Mary le Bow,inside City walls
St Mary Bothaw,inside City walls
St Mary Colechurch,inside City walls
St Mary Hill,inside City walls
St Mary Mounthaw,inside City walls
St Mary Somerset,inside City walls
St Mary Staining,inside City walls
St Mary Woolchurch,inside City walls
St Mary Woolnoth,inside City walls
St Martin Ironmonger Lane,inside City walls
St Martin Ludgate,inside City walls
St Martin Orgar,inside City walls
St Martin Outwich,inside City walls
St Martin Vintry,inside City walls
St Matthew Friday Street,inside City walls
St Mary Magdalen Milk Street,inside City walls
St Mary Magdalen Old Fish Street,inside City walls
St Michael Bassishaw,inside City walls
St Michael Cornhill,inside City walls
St Michael Crooked Lane,inside City walls
St Michael Queenhithe,inside City walls
St Michael Quern,inside City walls
St Michael Royal,inside City walls
St Michael Wood Street,inside City walls
St Mildred Bread Street,inside City walls
St Mildred Poultrey,inside City walls
St Nicholas Acons,inside City walls
St Nicholas Cole Abbey,inside City walls
St Nicholas Olave,inside City walls
St Olave Hart Street,inside City walls
St Olave Jewry,inside City walls
St Olave Silver Street,inside City walls
St Pancras Soper Lane,inside City walls
St Peter Ad Vincula,inside City walls
St Peter Cheap,inside City walls
St Peter Cornhill,inside City walls
St Peter Paul's Wharf,inside City walls
St Peter Poor,inside City walls
St Stephen Coleman Street,inside City walls
St Stephen Walbrook,inside City walls
St Swithin,inside City walls
St Thomas Apostle,inside City walls
Trinity,inside City walls
St Andrew Holborn,west
St Bartholomew Great,north
St Bartholomew Less,north
St Botolph Aldersgate,north
St Botolph Aldgate,north/east
St Botolph Bishopsgate,north
Bridewell Precinct,west
St Bride,west
St Dunstan West,west
St George Southwark,south
St Giles Cripplegate,north
St Olave Southwark,south
St Saviour Southwark,south
St Sepulchre,west
St Thomas Southwark,south
Holy Trinity Minories,east
Christ Church Surrey,south
St Giles in the Field,north
St John at Hackney,north/east
St James Clerkenwell,north
St Katharine Tower,east
St Mary Lambeth,south
St Leonard Shoreditch,north
St Mary Magdalen Bermondsey,south
St Mary Islington,north
St Mary Newington,south
St Mary Whitechapel,east
St Mary Rotherhithe,south
St Dunstan Stepney,east
St Clement Danes,Westminster
St Paul Covent Garden,Westminster
St Martin in the Fields,Westminster
St Mary Savoy,Westminster
St Margaret Westminster,Westminster